hostTime;deviceTime;rA;cA;rB;cB;tpb_x;tpb_y
310053.957269;152.550665;4400;4400;4400;4400;18;4
311858.034376;99.629785;4400;4400;4400;4400;16;4
13544.671673;5.913589;1600;1600;1600;1600;30;4
13730.894889;3.545598;1600;1600;1600;1600;28;4
19335.860595;8.289947;1800;1800;1800;1800;30;4
19565.007454;4.978707;1800;1800;1800;1800;28;4
45969.183126;12.740282;2400;2400;2400;2400;26;4
26332.346505;11.383934;2000;2000;2000;2000;30;4
26654.026739;8.385206;2000;2000;2000;2000;28;4
60223.219014;16.475909;2600;2600;2600;2600;26;4
35528.070911;14.409501;2200;2200;2200;2200;30;4
35634.774062;8.932373;2200;2200;2200;2200;28;4
150732.831118;53.748021;3400;3400;3400;3400;24;4
205882.668069;65.644103;3800;3800;3800;3800;20;4
45806.704678;19.577763;2400;2400;2400;2400;30;4
45939.279681;11.821765;2400;2400;2400;2400;28;4
169926.006228;51.934853;3600;3600;3600;3600;22;4
76383.007363;22.884843;2800;2800;2800;2800;26;4
25.886554;0.039616;200;200;200;200;32;4
207.777189;0.097346;400;400;400;400;32;4
717.383624;0.203635;600;600;600;600;32;4
1738.366549;0.414745;800;800;800;800;32;4
3378.366055;0.801969;1000;1000;1000;1000;32;4
60049.425219;23.299488;2600;2600;2600;2600;30;4
60098.629896;15.465375;2600;2600;2600;2600;28;4
5732.019439;1.310773;1200;1200;1200;1200;32;4
493684.296829;201.363642;5000;5000;5000;5000;8;4
9182.878280;2.044040;1400;1400;1400;1400;32;4
486162.154329;251.000523;5000;5000;5000;5000;10;4
13604.490640;3.020910;1600;1600;1600;1600;32;4
19755.659491;4.316467;1800;1800;1800;1800;32;4
97243.259078;30.348688;3000;3000;3000;3000;26;4
168184.389079;64.700032;3600;3600;3600;3600;24;4
76540.294079;30.414562;2800;2800;2800;2800;30;4
26377.652832;5.861934;2000;2000;2000;2000;32;4
76534.460584;19.751085;2800;2800;2800;2800;28;4
35447.871898;7.710676;2200;2200;2200;2200;32;4
231143.442982;79.539094;4000;4000;4000;4000;20;4
45953.975227;10.109415;2400;2400;2400;2400;32;4
494562.556181;169.184993;5000;5000;5000;5000;12;4
375426.265502;154.646934;4600;4600;4600;4600;18;4
206168.170314;60.465363;3800;3800;3800;3800;22;4
97455.036009;29.781599;3000;3000;3000;3000;28;4
97571.793852;35.375015;3000;3000;3000;3000;30;4
381139.264534;113.580337;4600;4600;4600;4600;16;4
150809.835829;38.342643;3200;3200;3200;3200;26;4
60502.296543;13.600373;2600;2600;2600;2600;32;4
497021.563197;153.719576;5000;5000;5000;5000;14;4
206288.899933;76.910945;3800;3800;3800;3800;24;4
76001.950619;18.371284;2800;2800;2800;2800;32;4
151281.077464;48.899668;3200;3200;3200;3200;30;4
152660.045790;35.804245;3200;3200;3200;3200;28;4
149073.559742;46.791293;3400;3400;3400;3400;26;4
92966.487425;24.571284;3000;3000;3000;3000;32;4
230759.194593;72.384909;4000;4000;4000;4000;22;4
278316.066596;90.537260;4200;4200;4200;4200;20;4
148566.178315;55.137247;3400;3400;3400;3400;30;4
150626.568966;43.880655;3400;3400;3400;3400;28;4
231342.149358;90.391664;4000;4000;4000;4000;24;4
168630.291138;56.618261;3600;3600;3600;3600;26;4
150805.595075;27.796613;3200;3200;3200;3200;32;4
428906.859557;183.975473;4800;4800;4800;4800;18;4
436720.732661;132.966749;4800;4800;4800;4800;16;4
168270.200591;66.179995;3600;3600;3600;3600;30;4
168441.309508;53.281506;3600;3600;3600;3600;28;4
277343.754852;84.149724;4200;4200;4200;4200;22;4
148613.525445;39.999874;3400;3400;3400;3400;32;4
311436.096287;106.656763;4400;4400;4400;4400;20;4
208126.297872;67.203820;3800;3800;3800;3800;26;4
278541.311046;103.977645;4200;4200;4200;4200;24;4
207372.912193;76.863160;3800;3800;3800;3800;30;4
207159.809818;63.252879;3800;3800;3800;3800;28;4
167968.721841;47.413505;3600;3600;3600;3600;32;4
231313.912958;79.827144;4000;4000;4000;4000;26;4
311072.789070;99.009209;4400;4400;4400;4400;22;4
206058.147410;57.177530;3800;3800;3800;3800;32;4
230963.925377;90.649129;4000;4000;4000;4000;30;4
227240.792952;74.549269;4000;4000;4000;4000;28;4
490341.533205;223.158239;5000;5000;5000;5000;18;4
310314.682264;120.257730;4400;4400;4400;4400;24;4
496136.847841;148.596063;5000;5000;5000;5000;16;4
379829.786652;120.529281;4600;4600;4600;4600;20;4
278689.953226;92.415546;4200;4200;4200;4200;26;4
231248.572227;64.389818;4000;4000;4000;4000;32;4
277932.200079;109.460246;4200;4200;4200;4200;30;4
276000.894529;86.939863;4200;4200;4200;4200;28;4
379687.822819;111.686553;4600;4600;4600;4600;22;4
381964.804554;132.365176;4600;4600;4600;4600;24;4
435622.206986;141.098106;4800;4800;4800;4800;20;4
311550.094243;107.508573;4400;4400;4400;4400;26;4
277598.757122;78.415792;4200;4200;4200;4200;32;4
310360.265961;126.154775;4400;4400;4400;4400;30;4
310825.026569;100.654884;4400;4400;4400;4400;28;4
426166.126069;131.551870;4800;4800;4800;4800;22;4
310788.764109;89.687754;4400;4400;4400;4400;32;4
434485.088712;154.806173;4800;4800;4800;4800;24;4
380620.307250;122.095378;4600;4600;4600;4600;26;4
490375.175193;155.442137;5000;5000;5000;5000;20;4
380067.678494;136.002838;4600;4600;4600;4600;30;4
379912.656027;115.849938;4600;4600;4600;4600;28;4
380440.229368;103.838530;4600;4600;4600;4600;32;4
492755.871470;145.620512;5000;5000;5000;5000;22;4
432238.148153;142.457081;4800;4800;4800;4800;26;4
495297.867382;158.596811;5000;5000;5000;5000;24;4
421489.254936;133.181039;4800;4800;4800;4800;28;4
424727.202328;165.366964;4800;4800;4800;4800;30;4
422690.804348;114.570057;4800;4800;4800;4800;32;4
492946.938338;158.853739;5000;5000;5000;5000;26;4
492115.838789;149.241940;5000;5000;5000;5000;28;4
493963.377085;167.174486;5000;5000;5000;5000;30;4
481412.010062;134.408649;5000;5000;5000;5000;32;4
25.862441;0.076315;200;200;200;200;2;2
25.880798;0.041287;200;200;200;200;4;4
25.864703;0.039196;200;200;200;200;6;6
207.127967;0.422684;400;400;400;400;2;2
207.094536;0.138129;400;400;400;400;6;6
207.051821;0.147181;400;400;400;400;4;4
715.473969;1.313183;600;600;600;600;2;2
715.786380;0.371032;600;600;600;600;4;4
716.927743;0.319947;600;600;600;600;6;6
1706.734701;3.064974;800;800;800;800;2;2
1740.995136;0.968814;800;800;800;800;6;6
1739.744913;1.116421;800;800;800;800;4;4
3436.467207;5.911192;1000;1000;1000;1000;2;2
3369.489128;1.343076;1000;1000;1000;1000;6;6
3395.472475;1.562704;1000;1000;1000;1000;4;4
5730.205868;10.126819;1200;1200;1200;1200;2;2
5723.399969;2.635421;1200;1200;1200;1200;4;4
5750.364238;2.329681;1200;1200;1200;1200;6;6
9130.458147;3.556426;1400;1400;1400;1400;6;6
